time,distance,angle1,pos1x,pos1y,angle2,pos2x,pos2y
0,226.8496177,60.18638652,-89.24823218,6.160988464,-21,95.69958461,11.20296512
0.043,192.1989134,17.01998327,-96.49918706,11.43637569,-34.1989134,88.99861968,21.06353782
0.094,180.7230938,23.76744236,-91.72032461,22.28820398,-35.92200721,82.07151271,30.62522656
0.139,178.4432905,-162.2408663,-95.30118852,11.10772712,145.6347023,88.72343802,20.89770125
0.185,189.7912502,-156.956014,-99.93692573,0.209883223,134.843452,97.15948811,12.50762492
0.232,206.1344504,-138.4763168,-107.8753728,-8.755428888,107.7090017,108.6492902,8.838772232
0.279,229.3558272,-100.2380017,-119.8539465,-10.91891752,57.35317449,119.0006113,15.4706442
0.318,247.2157847,-38.93005604,-127.6476847,-1.270392995,-10.86261024,116.6501758,27.71932471
0.359,239.1106875,28.08183053,-121.7823065,9.722873174,-70.9732977,104.9360354,31.75893424
0.406,215.6222331,76.8685609,-109.8254876,12.51222917,-107.5955308,93.34855103,28.08416246
0.459,192.2284713,101.6384681,-98.03528327,10.08379724,-120.8240021,83.11034484,21.97515216
0.509,170.3328196,104.1739822,-86.57962721,7.19060502,68.84317827,94.02482258,26.19913921
0.548,170.7693194,106.7759967,-75.26649098,3.780138673,-101.9261411,82.56984225,23.77973731
0.596,170.6735874,-94.12563111,-86.82743897,2.946241117,87.40027148,94.26452938,24.31073442
0.643,194.1115001,-90.77776967,-98.64982824,2.785746562,72.28877137,105.639658,27.94345749
0.693,216.0372726,-63.94505946,-109.4827071,8.082159251,35.25149881,112.6582184,37.87393959
0.738,226.820705,-18.8153181,-113.4307553,19.66931929,-12.56920623,109.9884271,49.8481251
0.785,218.5911492,27.63288304,-107.7470706,30.52602493,-52.16035545,100.3648382,57.32361683
0.831,198.8568332,58.46299896,-97.43565754,36.85403025,-72.01718865,88.96192133,61.02486749
0.878,176.521131,67.42120384,-86.46661727,41.41523899,111.4616804,99.91136203,56.72022518
0.925,175.3231112,75.42653471,-74.97847338,44.40199567,-63.86143081,89.36011949,61.89803576
